year_month_day,mean_lon,mean_lat,matched_lat,matched_lon,matched_chla,erddap_date
2005-05-04,176.619432886108,32.6787283689241,32.6875,176.60417,0.29,2005-05-01
2005-06-23,175.860895212552,35.057734124614,35.0625,175.85417,0.11,2005-07-01
2005-08-12,180.592617770427,40.4057593651645,40.39583,180.60417,0.36,2005-08-01
2005-10-01,183.510212411605,41.6848032419466,41.6875,183.52083,0.31,2005-10-01
2005-11-20,186.999746586372,37.3662285175569,37.35417,186.97917,0.29,2005-12-01
2006-01-09,193.315150592714,32.1379277609952,32.14583,193.3125,0.29,2006-01-01
2006-02-28,199.01578005525,32.1112577913518,32.10417,199.02083,0.21,2006-03-01
2006-04-19,196.367856222399,34.9122377945573,34.89583,196.35417,0.11,2006-05-01
2006-06-08,194.311561551928,34.6966077152962,34.6875,194.3125,0.09,2006-06-01
2006-07-28,192.85445935735,37.0917501942058,37.10417,192.85417,0.06,2006-08-01
2006-09-16,194.078757811627,41.7693290372383,41.77083,194.0625,0.37,2006-10-01
2006-11-05,192.044436165313,38.2279593047231,38.22917,192.0625,0.22,2006-11-01
2006-12-25,191.760026290605,34.7385780752043,34.72917,191.77083,0.25,2007-01-01
2007-02-13,195.063134981283,31.7396435280445,31.72917,195.0625,0.25,2007-02-01
2007-04-04,199.306553405532,34.3432418597437,34.35417,199.3125,0.35,2007-04-01
2007-05-24,205.605040455239,35.1277116865649,35.14583,205.60417,0.1,2007-06-01
2007-07-13,210.280467921659,38.460826483342,38.47917,210.27083,0.13,2007-07-01
2007-09-01,215.722452964025,39.3374947731784,39.35417,215.72917,0.12,2007-09-01
2007-10-21,223.007301112593,35.8679284198372,35.85417,223.02083,0.1,2007-11-01
2007-12-10,225.638647308816,30.1854023141461,30.1875,225.64583,0.09,2007-12-01
2008-01-29,232.406424355302,28.328588352337,28.3125,232.39583,0.09,2008-02-01
2008-03-19,239.552975360004,25.9810780813157,25.97917,239.5625,0.07,2008-04-01
2008-05-08,245.871574770029,24.8366188324699,24.85417,245.85417,0.15,2008-05-01
2008-06-27,248.571044756,23.7241735345355,23.72917,248.5625,0.55,2008-07-01
2008-08-16,245.7579071789,26.7817714626367,26.77083,245.77083,0.71,2008-08-01
